carriers,locs,techs,timesteps,carrier_con
electricity,NL11,battery,2015-03-11 06:00:00,0.0
electricity,NL11,battery,2015-03-11 09:00:00,0.0
electricity,NL11,battery,2015-03-11 12:00:00,0.0
electricity,NL11,battery,2015-03-11 15:00:00,0.0
electricity,NL11,battery,2015-03-11 18:00:00,0.0
electricity,NL11,battery,2015-03-11 21:00:00,0.0
electricity,NL11,battery,2015-03-12 00:00:00,0.0
electricity,NL11,battery,2015-03-12 03:00:00,0.0
electricity,NL11,battery,2015-03-12 06:00:00,0.0
electricity,NL11,battery,2015-03-12 09:00:00,0.0
electricity,NL11,battery,2015-03-12 12:00:00,0.0
electricity,NL11,battery,2015-03-12 15:00:00,0.0
electricity,NL11,battery,2015-03-12 18:00:00,0.0
electricity,NL11,battery,2015-03-12 21:00:00,0.0
electricity,NL11,battery,2015-03-13 00:00:00,0.0
electricity,NL11,battery,2015-03-13 03:00:00,0.0
electricity,NL11,battery,2015-03-13 06:00:00,0.0
electricity,NL11,battery,2015-03-13 09:00:00,0.0
electricity,NL11,battery,2015-03-13 12:00:00,0.0
electricity,NL11,battery,2015-03-13 15:00:00,0.0
electricity,NL11,battery,2015-03-13 18:00:00,0.0
electricity,NL11,battery,2015-03-13 21:00:00,0.0
electricity,NL11,battery,2015-03-14 00:00:00,0.0
electricity,NL11,battery,2015-03-14 03:00:00,0.0
electricity,NL11,battery,2015-03-14 06:00:00,0.0
electricity,NL11,battery,2015-03-14 09:00:00,0.0
electricity,NL11,battery,2015-03-14 12:00:00,0.0
electricity,NL11,battery,2015-03-14 15:00:00,0.0
electricity,NL11,battery,2015-03-14 18:00:00,0.0
electricity,NL11,battery,2015-03-14 21:00:00,0.0
electricity,NL11,battery,2015-03-15 00:00:00,0.0
electricity,NL11,battery,2015-03-15 03:00:00,0.0
electricity,NL11,battery,2015-03-15 06:00:00,0.0
electricity,NL11,battery,2015-03-15 09:00:00,0.0
electricity,NL11,battery,2015-03-15 12:00:00,0.0
electricity,NL11,battery,2015-03-15 15:00:00,0.0
electricity,NL11,battery,2015-03-15 18:00:00,0.0
electricity,NL11,battery,2015-03-15 21:00:00,0.0
electricity,NL11,battery,2015-03-16 00:00:00,-16.775313
electricity,NL11,battery,2015-03-16 03:00:00,-46.527754
electricity,NL11,battery,2015-03-16 06:00:00,0.0
electricity,NL11,battery,2015-03-16 09:00:00,0.0
electricity,NL11,battery,2015-03-16 12:00:00,0.0
electricity,NL11,battery,2015-03-16 15:00:00,0.0
electricity,NL11,battery,2015-03-16 18:00:00,0.0
electricity,NL11,battery,2015-03-16 21:00:00,0.0
electricity,NL11,battery,2015-03-17 00:00:00,0.0
electricity,NL11,battery,2015-03-17 03:00:00,0.0
electricity,NL11,battery,2015-03-17 06:00:00,0.0
electricity,NL11,battery,2015-03-17 09:00:00,0.0
electricity,NL11,battery,2015-03-17 12:00:00,0.0
electricity,NL11,battery,2015-03-17 15:00:00,0.0
electricity,NL11,battery,2015-03-17 18:00:00,0.0
electricity,NL11,battery,2015-03-17 21:00:00,0.0
electricity,NL11,battery,2015-03-18 00:00:00,0.0
electricity,NL11,battery,2015-03-18 03:00:00,0.0
electricity,NL11,battery,2015-03-18 06:00:00,0.0
electricity,NL11,battery,2015-03-18 09:00:00,0.0
electricity,NL11,battery,2015-03-18 12:00:00,0.0
electricity,NL11,battery,2015-03-18 15:00:00,0.0
electricity,NL11,battery,2015-03-18 18:00:00,0.0
electricity,NL11,battery,2015-03-18 21:00:00,0.0
electricity,NL11,battery,2015-03-19 00:00:00,0.0
electricity,NL11,battery,2015-03-19 03:00:00,0.0
electricity,NL11,battery,2015-03-19 06:00:00,0.0
electricity,NL11,battery,2015-03-19 09:00:00,0.0
electricity,NL11,battery,2015-03-19 12:00:00,0.0
electricity,NL11,battery,2015-03-19 15:00:00,0.0
electricity,NL11,battery,2015-03-19 18:00:00,0.0
electricity,NL11,battery,2015-03-19 21:00:00,0.0
electricity,NL11,battery,2015-03-20 00:00:00,0.0
electricity,NL11,battery,2015-03-20 03:00:00,0.0
electricity,NL11,battery,2015-03-20 06:00:00,0.0
electricity,NL11,battery,2015-03-20 09:00:00,0.0
electricity,NL11,battery,2015-03-20 12:00:00,0.0
electricity,NL11,battery,2015-03-20 15:00:00,0.0
electricity,NL11,battery,2015-03-20 18:00:00,0.0
electricity,NL11,battery,2015-03-20 21:00:00,0.0
electricity,NL11,battery,2015-03-21 00:00:00,0.0
electricity,NL11,battery,2015-03-21 03:00:00,0.0
electricity,NL11,battery,2015-03-21 06:00:00,0.0
electricity,NL11,battery,2015-03-21 09:00:00,0.0
electricity,NL11,battery,2015-03-21 12:00:00,0.0
electricity,NL11,battery,2015-03-21 15:00:00,0.0
electricity,NL11,battery,2015-03-21 18:00:00,0.0
electricity,NL11,battery,2015-03-21 21:00:00,-16.775313
electricity,NL11,battery,2015-03-22 00:00:00,-46.527754
electricity,NL11,battery,2015-03-22 03:00:00,0.0
electricity,NL11,battery,2015-03-22 06:00:00,0.0
electricity,NL11,battery,2015-03-22 09:00:00,0.0
electricity,NL11,battery,2015-03-22 12:00:00,0.0
electricity,NL11,battery,2015-03-22 15:00:00,0.0
electricity,NL11,battery,2015-03-22 18:00:00,0.0
electricity,NL11,battery,2015-03-22 21:00:00,0.0
electricity,NL11,battery,2015-03-23 00:00:00,0.0
electricity,NL11,battery,2015-03-23 03:00:00,0.0
electricity,NL11,battery,2015-03-23 06:00:00,0.0
electricity,NL11,battery,2015-03-23 09:00:00,0.0
electricity,NL11,battery,2015-03-23 12:00:00,0.0
electricity,NL11,battery,2015-03-23 15:00:00,0.0
electricity,NL11,battery,2015-03-23 18:00:00,0.0
electricity,NL11,battery,2015-03-23 21:00:00,0.0
electricity,NL11,battery,2015-03-24 00:00:00,0.0
electricity,NL11,battery,2015-03-24 03:00:00,0.0
electricity,NL11,battery,2015-03-24 06:00:00,0.0
electricity,NL11,battery,2015-03-24 09:00:00,0.0
electricity,NL11,battery,2015-03-24 12:00:00,0.0
electricity,NL11,battery,2015-03-24 15:00:00,0.0
electricity,NL11,battery,2015-03-24 18:00:00,0.0
electricity,NL11,battery,2015-03-24 21:00:00,0.0
electricity,NL11,battery,2015-03-25 00:00:00,0.0
electricity,NL11,battery,2015-03-25 03:00:00,0.0
electricity,NL11,battery,2015-03-25 06:00:00,-1.9184705
electricity,NL11,battery,2015-03-25 09:00:00,-46.527754
electricity,NL11,battery,2015-03-25 12:00:00,0.0
electricity,NL11,battery,2015-03-25 15:00:00,0.0
electricity,NL11,battery,2015-03-25 18:00:00,0.0
electricity,NL11,battery,2015-03-25 21:00:00,0.0
electricity,NL11,battery,2015-03-26 00:00:00,0.0
electricity,NL11,battery,2015-03-26 03:00:00,0.0
electricity,NL11,battery,2015-03-26 06:00:00,0.0
electricity,NL11,battery,2015-03-26 09:00:00,0.0
electricity,NL11,battery,2015-03-26 12:00:00,0.0
electricity,NL11,battery,2015-03-26 15:00:00,0.0
electricity,NL11,battery,2015-03-26 18:00:00,0.0
electricity,NL11,battery,2015-03-26 21:00:00,0.0
electricity,NL11,battery,2015-03-27 00:00:00,-42.099933
electricity,NL11,battery,2015-03-27 03:00:00,0.0
electricity,NL11,battery,2015-03-27 06:00:00,0.0
electricity,NL11,battery,2015-03-27 09:00:00,0.0
electricity,NL11,battery,2015-03-27 12:00:00,0.0
electricity,NL11,battery,2015-03-27 15:00:00,0.0
electricity,NL11,battery,2015-03-27 18:00:00,0.0
electricity,NL11,battery,2015-03-27 21:00:00,0.0
electricity,NL11,battery,2015-03-28 00:00:00,0.0
electricity,NL11,battery,2015-03-28 03:00:00,0.0
electricity,NL11,battery,2015-03-28 06:00:00,0.0
electricity,NL11,battery,2015-03-28 09:00:00,0.0
electricity,NL11,battery,2015-03-28 12:00:00,0.0
electricity,NL11,battery,2015-03-28 15:00:00,0.0
electricity,NL11,battery,2015-03-28 18:00:00,0.0
electricity,NL11,battery,2015-03-28 21:00:00,0.0
electricity,NL11,battery,2015-03-29 00:00:00,0.0
electricity,NL11,battery,2015-03-29 03:00:00,-46.527754
electricity,NL11,battery,2015-03-29 06:00:00,0.0
electricity,NL11,battery,2015-03-29 09:00:00,-16.775313
electricity,NL11,battery,2015-03-29 12:00:00,0.0
electricity,NL11,battery,2015-03-29 15:00:00,0.0
electricity,NL11,battery,2015-03-29 18:00:00,0.0
electricity,NL11,battery,2015-03-29 21:00:00,0.0
electricity,NL11,battery,2015-03-30 00:00:00,0.0
electricity,NL11,battery,2015-03-30 03:00:00,0.0
electricity,NL11,battery,2015-03-30 06:00:00,0.0
electricity,NL11,battery,2015-03-30 09:00:00,0.0
electricity,NL11,battery,2015-03-30 12:00:00,-1.9184705
electricity,NL11,battery,2015-03-30 15:00:00,-46.527754
electricity,NL11,battery,2015-03-30 18:00:00,0.0
electricity,NL11,battery,2015-03-30 21:00:00,0.0
electricity,NL11,battery,2015-03-31 00:00:00,0.0
electricity,NL11,battery,2015-03-31 03:00:00,0.0
electricity,NL11,battery,2015-03-31 06:00:00,0.0
electricity,NL11,battery,2015-03-31 09:00:00,0.0
electricity,NL11,battery,2015-03-31 12:00:00,0.0
electricity,NL11,battery,2015-03-31 15:00:00,0.0
electricity,NL11,battery,2015-03-31 18:00:00,0.0
electricity,NL11,battery,2015-03-31 21:00:00,0.0
electricity,NL11,curtailment,2015-03-01 00:00:00,-1055.1063
electricity,NL11,curtailment,2015-03-01 03:00:00,-1071.0868
electricity,NL11,curtailment,2015-03-01 06:00:00,-824.73477
electricity,NL11,curtailment,2015-03-01 09:00:00,-926.10745
electricity,NL11,curtailment,2015-03-01 12:00:00,-917.79956
electricity,NL11,curtailment,2015-03-01 15:00:00,-333.52005
electricity,NL11,curtailment,2015-03-01 18:00:00,0.0
electricity,NL11,curtailment,2015-03-01 21:00:00,-259.89943
electricity,NL11,curtailment,2015-03-02 00:00:00,-886.291
electricity,NL11,curtailment,2015-03-02 03:00:00,-1063.3915
electricity,NL11,curtailment,2015-03-02 06:00:00,-581.91646
electricity,NL11,curtailment,2015-03-02 09:00:00,-503.06561
electricity,NL11,curtailment,2015-03-02 12:00:00,-230.12343
electricity,NL11,curtailment,2015-03-02 15:00:00,-169.11998
electricity,NL11,curtailment,2015-03-02 18:00:00,-201.94395
electricity,NL11,curtailment,2015-03-02 21:00:00,-752.55248
electricity,NL11,curtailment,2015-03-03 00:00:00,-651.66565
electricity,NL11,curtailment,2015-03-03 03:00:00,-164.33521
electricity,NL11,curtailment,2015-03-03 06:00:00,0.0
electricity,NL11,curtailment,2015-03-03 09:00:00,0.0
electricity,NL11,curtailment,2015-03-03 12:00:00,0.0
electricity,NL11,curtailment,2015-03-03 15:00:00,0.0
electricity,NL11,curtailment,2015-03-03 18:00:00,0.0
electricity,NL11,curtailment,2015-03-03 21:00:00,-230.46426
electricity,NL11,curtailment,2015-03-04 00:00:00,-381.73031
electricity,NL11,curtailment,2015-03-04 03:00:00,-330.16402
electricity,NL11,curtailment,2015-03-04 06:00:00,-37.349306
electricity,NL11,curtailment,2015-03-04 09:00:00,-423.91868
electricity,NL11,curtailment,2015-03-04 12:00:00,-384.13197
electricity,NL11,curtailment,2015-03-04 15:00:00,0.0
electricity,NL11,curtailment,2015-03-04 18:00:00,-111.12628
electricity,NL11,curtailment,2015-03-04 21:00:00,0.0
electricity,NL11,curtailment,2015-03-05 00:00:00,0.0
electricity,NL11,curtailment,2015-03-05 03:00:00,0.0
electricity,NL11,curtailment,2015-03-05 06:00:00,0.0
electricity,NL11,curtailment,2015-03-05 09:00:00,0.0
electricity,NL11,curtailment,2015-03-05 12:00:00,0.0
electricity,NL11,curtailment,2015-03-05 15:00:00,0.0
electricity,NL11,curtailment,2015-03-05 18:00:00,0.0
electricity,NL11,curtailment,2015-03-05 21:00:00,0.0
electricity,NL11,curtailment,2015-03-06 00:00:00,0.0
electricity,NL11,curtailment,2015-03-06 03:00:00,0.0
electricity,NL11,curtailment,2015-03-06 06:00:00,0.0
electricity,NL11,curtailment,2015-03-06 09:00:00,0.0
electricity,NL11,curtailment,2015-03-06 12:00:00,0.0
electricity,NL11,curtailment,2015-03-06 15:00:00,0.0
electricity,NL11,curtailment,2015-03-06 18:00:00,0.0
electricity,NL11,curtailment,2015-03-06 21:00:00,0.0
electricity,NL11,curtailment,2015-03-07 00:00:00,-227.66974
electricity,NL11,curtailment,2015-03-07 03:00:00,-247.22456
electricity,NL11,curtailment,2015-03-07 06:00:00,-121.16071
electricity,NL11,curtailment,2015-03-07 09:00:00,-372.8342
electricity,NL11,curtailment,2015-03-07 12:00:00,-416.1066
electricity,NL11,curtailment,2015-03-07 15:00:00,-261.95001
electricity,NL11,curtailment,2015-03-07 18:00:00,-222.94549
electricity,NL11,curtailment,2015-03-07 21:00:00,-415.24508
electricity,NL11,curtailment,2015-03-08 00:00:00,-491.51294
electricity,NL11,curtailment,2015-03-08 03:00:00,-324.35292
electricity,NL11,curtailment,2015-03-08 06:00:00,0.0
electricity,NL11,curtailment,2015-03-08 09:00:00,0.0
electricity,NL11,curtailment,2015-03-08 12:00:00,0.0
electricity,NL11,curtailment,2015-03-08 15:00:00,0.0
electricity,NL11,curtailment,2015-03-08 18:00:00,0.0
electricity,NL11,curtailment,2015-03-08 21:00:00,0.0
electricity,NL11,curtailment,2015-03-09 00:00:00,0.0
electricity,NL11,curtailment,2015-03-09 03:00:00,0.0
electricity,NL11,curtailment,2015-03-09 06:00:00,0.0
electricity,NL11,curtailment,2015-03-09 09:00:00,0.0
electricity,NL11,curtailment,2015-03-09 12:00:00,0.0
electricity,NL11,curtailment,2015-03-09 15:00:00,0.0
electricity,NL11,curtailment,2015-03-09 18:00:00,0.0
electricity,NL11,curtailment,2015-03-09 21:00:00,0.0
electricity,NL11,curtailment,2015-03-10 00:00:00,0.0
electricity,NL11,curtailment,2015-03-10 03:00:00,0.0
electricity,NL11,curtailment,2015-03-10 06:00:00,0.0
electricity,NL11,curtailment,2015-03-10 09:00:00,0.0
electricity,NL11,curtailment,2015-03-10 12:00:00,0.0
electricity,NL11,curtailment,2015-03-10 15:00:00,0.0
electricity,NL11,curtailment,2015-03-10 18:00:00,0.0
electricity,NL11,curtailment,2015-03-10 21:00:00,0.0
electricity,NL11,curtailment,2015-03-11 00:00:00,0.0
electricity,NL11,curtailment,2015-03-11 03:00:00,0.0
electricity,NL11,curtailment,2015-03-11 06:00:00,0.0
electricity,NL11,curtailment,2015-03-11 09:00:00,0.0
electricity,NL11,curtailment,2015-03-11 12:00:00,0.0
electricity,NL11,curtailment,2015-03-11 15:00:00,0.0
electricity,NL11,curtailment,2015-03-11 18:00:00,0.0
electricity,NL11,curtailment,2015-03-11 21:00:00,0.0
electricity,NL11,curtailment,2015-03-12 00:00:00,0.0
electricity,NL11,curtailment,2015-03-12 03:00:00,0.0
electricity,NL11,curtailment,2015-03-12 06:00:00,0.0
electricity,NL11,curtailment,2015-03-12 09:00:00,0.0
electricity,NL11,curtailment,2015-03-12 12:00:00,0.0
electricity,NL11,curtailment,2015-03-12 15:00:00,0.0
electricity,NL11,curtailment,2015-03-12 18:00:00,0.0
electricity,NL11,curtailment,2015-03-12 21:00:00,0.0
electricity,NL11,curtailment,2015-03-13 00:00:00,0.0
electricity,NL11,curtailment,2015-03-13 03:00:00,0.0
electricity,NL11,curtailment,2015-03-13 06:00:00,0.0
electricity,NL11,curtailment,2015-03-13 09:00:00,0.0
electricity,NL11,curtailment,2015-03-13 12:00:00,0.0
electricity,NL11,curtailment,2015-03-13 15:00:00,0.0
electricity,NL11,curtailment,2015-03-13 18:00:00,0.0
electricity,NL11,curtailment,2015-03-13 21:00:00,0.0
electricity,NL11,curtailment,2015-03-14 00:00:00,0.0
electricity,NL11,curtailment,2015-03-14 03:00:00,0.0
electricity,NL11,curtailment,2015-03-14 06:00:00,0.0
electricity,NL11,curtailment,2015-03-14 09:00:00,0.0
electricity,NL11,curtailment,2015-03-14 12:00:00,0.0
electricity,NL11,curtailment,2015-03-14 15:00:00,0.0
electricity,NL11,curtailment,2015-03-14 18:00:00,0.0
electricity,NL11,curtailment,2015-03-14 21:00:00,0.0
electricity,NL11,curtailment,2015-03-15 00:00:00,0.0
electricity,NL11,curtailment,2015-03-15 03:00:00,0.0
electricity,NL11,curtailment,2015-03-15 06:00:00,0.0
electricity,NL11,curtailment,2015-03-15 09:00:00,0.0
electricity,NL11,curtailment,2015-03-15 12:00:00,0.0
electricity,NL11,curtailment,2015-03-15 15:00:00,0.0
electricity,NL11,curtailment,2015-03-15 18:00:00,0.0
electricity,NL11,curtailment,2015-03-15 21:00:00,0.0
electricity,NL11,curtailment,2015-03-16 00:00:00,-120.45896
electricity,NL11,curtailment,2015-03-16 03:00:00,-76.055274
electricity,NL11,curtailment,2015-03-16 06:00:00,0.0
electricity,NL11,curtailment,2015-03-16 09:00:00,0.0
electricity,NL11,curtailment,2015-03-16 12:00:00,0.0
electricity,NL11,curtailment,2015-03-16 15:00:00,0.0
electricity,NL11,curtailment,2015-03-16 18:00:00,0.0
electricity,NL11,curtailment,2015-03-16 21:00:00,0.0
electricity,NL11,curtailment,2015-03-17 00:00:00,0.0
electricity,NL11,curtailment,2015-03-17 03:00:00,0.0
electricity,NL11,curtailment,2015-03-17 06:00:00,0.0
electricity,NL11,curtailment,2015-03-17 09:00:00,0.0
electricity,NL11,curtailment,2015-03-17 12:00:00,0.0
electricity,NL11,curtailment,2015-03-17 15:00:00,0.0
electricity,NL11,curtailment,2015-03-17 18:00:00,0.0
electricity,NL11,curtailment,2015-03-17 21:00:00,0.0
electricity,NL11,curtailment,2015-03-18 00:00:00,0.0
electricity,NL11,curtailment,2015-03-18 03:00:00,0.0
electricity,NL11,curtailment,2015-03-18 06:00:00,0.0
electricity,NL11,curtailment,2015-03-18 09:00:00,0.0
electricity,NL11,curtailment,2015-03-18 12:00:00,0.0
electricity,NL11,curtailment,2015-03-18 15:00:00,0.0
electricity,NL11,curtailment,2015-03-18 18:00:00,0.0
electricity,NL11,curtailment,2015-03-18 21:00:00,0.0
electricity,NL11,curtailment,2015-03-19 00:00:00,0.0
electricity,NL11,curtailment,2015-03-19 03:00:00,0.0
electricity,NL11,curtailment,2015-03-19 06:00:00,0.0
electricity,NL11,curtailment,2015-03-19 09:00:00,0.0
electricity,NL11,curtailment,2015-03-19 12:00:00,0.0
electricity,NL11,curtailment,2015-03-19 15:00:00,0.0
electricity,NL11,curtailment,2015-03-19 18:00:00,0.0
electricity,NL11,curtailment,2015-03-19 21:00:00,0.0
electricity,NL11,curtailment,2015-03-20 00:00:00,0.0
electricity,NL11,curtailment,2015-03-20 03:00:00,0.0
electricity,NL11,curtailment,2015-03-20 06:00:00,0.0
electricity,NL11,curtailment,2015-03-20 09:00:00,0.0
electricity,NL11,curtailment,2015-03-20 12:00:00,0.0
electricity,NL11,curtailment,2015-03-20 15:00:00,0.0
electricity,NL11,curtailment,2015-03-20 18:00:00,0.0
electricity,NL11,curtailment,2015-03-20 21:00:00,0.0
electricity,NL11,curtailment,2015-03-21 00:00:00,0.0
electricity,NL11,curtailment,2015-03-21 03:00:00,0.0
electricity,NL11,curtailment,2015-03-21 06:00:00,0.0
electricity,NL11,curtailment,2015-03-21 09:00:00,0.0
electricity,NL11,curtailment,2015-03-21 12:00:00,0.0
electricity,NL11,curtailment,2015-03-21 15:00:00,-326.9528
electricity,NL11,curtailment,2015-03-21 18:00:00,-400.40881
electricity,NL11,curtailment,2015-03-21 21:00:00,-326.79597
electricity,NL11,curtailment,2015-03-22 00:00:00,-44.426117
electricity,NL11,curtailment,2015-03-22 03:00:00,0.0
electricity,NL11,curtailment,2015-03-22 06:00:00,0.0
electricity,NL11,curtailment,2015-03-22 09:00:00,0.0
electricity,NL11,curtailment,2015-03-22 12:00:00,0.0
electricity,NL11,curtailment,2015-03-22 15:00:00,0.0
electricity,NL11,curtailment,2015-03-22 18:00:00,0.0
electricity,NL11,curtailment,2015-03-22 21:00:00,0.0
electricity,NL11,curtailment,2015-03-23 00:00:00,0.0
electricity,NL11,curtailment,2015-03-23 03:00:00,0.0
electricity,NL11,curtailment,2015-03-23 06:00:00,0.0
electricity,NL11,curtailment,2015-03-23 09:00:00,0.0
electricity,NL11,curtailment,2015-03-23 12:00:00,0.0
electricity,NL11,curtailment,2015-03-23 15:00:00,0.0
electricity,NL11,curtailment,2015-03-23 18:00:00,0.0
electricity,NL11,curtailment,2015-03-23 21:00:00,0.0
electricity,NL11,curtailment,2015-03-24 00:00:00,0.0
electricity,NL11,curtailment,2015-03-24 03:00:00,0.0
electricity,NL11,curtailment,2015-03-24 06:00:00,0.0
electricity,NL11,curtailment,2015-03-24 09:00:00,0.0
electricity,NL11,curtailment,2015-03-24 12:00:00,0.0
electricity,NL11,curtailment,2015-03-24 15:00:00,0.0
electricity,NL11,curtailment,2015-03-24 18:00:00,0.0
electricity,NL11,curtailment,2015-03-24 21:00:00,0.0
electricity,NL11,curtailment,2015-03-25 00:00:00,0.0
electricity,NL11,curtailment,2015-03-25 03:00:00,0.0
electricity,NL11,curtailment,2015-03-25 06:00:00,0.0
electricity,NL11,curtailment,2015-03-25 09:00:00,0.0
electricity,NL11,curtailment,2015-03-25 12:00:00,0.0
electricity,NL11,curtailment,2015-03-25 15:00:00,0.0
electricity,NL11,curtailment,2015-03-25 18:00:00,0.0
electricity,NL11,curtailment,2015-03-25 21:00:00,0.0
electricity,NL11,curtailment,2015-03-26 00:00:00,0.0
electricity,NL11,curtailment,2015-03-26 03:00:00,0.0
electricity,NL11,curtailment,2015-03-26 06:00:00,0.0
electricity,NL11,curtailment,2015-03-26 09:00:00,0.0
electricity,NL11,curtailment,2015-03-26 12:00:00,0.0
electricity,NL11,curtailment,2015-03-26 15:00:00,0.0
electricity,NL11,curtailment,2015-03-26 18:00:00,0.0
electricity,NL11,curtailment,2015-03-26 21:00:00,0.0
electricity,NL11,curtailment,2015-03-27 00:00:00,0.0
electricity,NL11,curtailment,2015-03-27 03:00:00,0.0
electricity,NL11,curtailment,2015-03-27 06:00:00,0.0
electricity,NL11,curtailment,2015-03-27 09:00:00,0.0
electricity,NL11,curtailment,2015-03-27 12:00:00,0.0
electricity,NL11,curtailment,2015-03-27 15:00:00,0.0
electricity,NL11,curtailment,2015-03-27 18:00:00,0.0
electricity,NL11,curtailment,2015-03-27 21:00:00,0.0
electricity,NL11,curtailment,2015-03-28 00:00:00,0.0
electricity,NL11,curtailment,2015-03-28 03:00:00,0.0
electricity,NL11,curtailment,2015-03-28 06:00:00,0.0
electricity,NL11,curtailment,2015-03-28 09:00:00,0.0
electricity,NL11,curtailment,2015-03-28 12:00:00,-343.86007
electricity,NL11,curtailment,2015-03-28 15:00:00,-284.22144
electricity,NL11,curtailment,2015-03-28 18:00:00,-451.08041
electricity,NL11,curtailment,2015-03-28 21:00:00,-750.67768
electricity,NL11,curtailment,2015-03-29 00:00:00,-850.38534
electricity,NL11,curtailment,2015-03-29 03:00:00,-463.2983
electricity,NL11,curtailment,2015-03-29 06:00:00,-562.28127
electricity,NL11,curtailment,2015-03-29 09:00:00,-373.02829
