locs,techs,timesteps,required_resource
NL11,curtailment,2015-03-06 18:00:00,-300000.0
NL11,curtailment,2015-03-06 21:00:00,-300000.0
NL11,curtailment,2015-03-07 00:00:00,-300000.0
NL11,curtailment,2015-03-07 03:00:00,-300000.0
NL11,curtailment,2015-03-07 06:00:00,-300000.0
NL11,curtailment,2015-03-07 09:00:00,-300000.0
NL11,curtailment,2015-03-07 12:00:00,-300000.0
NL11,curtailment,2015-03-07 15:00:00,-300000.0
NL11,curtailment,2015-03-07 18:00:00,-300000.0
NL11,curtailment,2015-03-07 21:00:00,-300000.0
NL11,curtailment,2015-03-08 00:00:00,-300000.0
NL11,curtailment,2015-03-08 03:00:00,-300000.0
NL11,curtailment,2015-03-08 06:00:00,-300000.0
NL11,curtailment,2015-03-08 09:00:00,-300000.0
NL11,curtailment,2015-03-08 12:00:00,-300000.0
NL11,curtailment,2015-03-08 15:00:00,-300000.0
NL11,curtailment,2015-03-08 18:00:00,-300000.0
NL11,curtailment,2015-03-08 21:00:00,-300000.0
NL11,curtailment,2015-03-09 00:00:00,-300000.0
NL11,curtailment,2015-03-09 03:00:00,-300000.0
NL11,curtailment,2015-03-09 06:00:00,-300000.0
NL11,curtailment,2015-03-09 09:00:00,-300000.0
NL11,curtailment,2015-03-09 12:00:00,-300000.0
NL11,curtailment,2015-03-09 15:00:00,-300000.0
NL11,curtailment,2015-03-09 18:00:00,-300000.0
NL11,curtailment,2015-03-09 21:00:00,-300000.0
NL11,curtailment,2015-03-10 00:00:00,-300000.0
NL11,curtailment,2015-03-10 03:00:00,-300000.0
NL11,curtailment,2015-03-10 06:00:00,-300000.0
NL11,curtailment,2015-03-10 09:00:00,-300000.0
NL11,curtailment,2015-03-10 12:00:00,-300000.0
NL11,curtailment,2015-03-10 15:00:00,-300000.0
NL11,curtailment,2015-03-10 18:00:00,-300000.0
NL11,curtailment,2015-03-10 21:00:00,-300000.0
NL11,curtailment,2015-03-11 00:00:00,-300000.0
NL11,curtailment,2015-03-11 03:00:00,-300000.0
NL11,curtailment,2015-03-11 06:00:00,-300000.0
NL11,curtailment,2015-03-11 09:00:00,-300000.0
NL11,curtailment,2015-03-11 12:00:00,-300000.0
NL11,curtailment,2015-03-11 15:00:00,-300000.0
NL11,curtailment,2015-03-11 18:00:00,-300000.0
NL11,curtailment,2015-03-11 21:00:00,-300000.0
NL11,curtailment,2015-03-12 00:00:00,-300000.0
NL11,curtailment,2015-03-12 03:00:00,-300000.0
NL11,curtailment,2015-03-12 06:00:00,-300000.0
NL11,curtailment,2015-03-12 09:00:00,-300000.0
NL11,curtailment,2015-03-12 12:00:00,-300000.0
NL11,curtailment,2015-03-12 15:00:00,-300000.0
NL11,curtailment,2015-03-12 18:00:00,-300000.0
NL11,curtailment,2015-03-12 21:00:00,-300000.0
NL11,curtailment,2015-03-13 00:00:00,-300000.0
NL11,curtailment,2015-03-13 03:00:00,-300000.0
NL11,curtailment,2015-03-13 06:00:00,-300000.0
NL11,curtailment,2015-03-13 09:00:00,-300000.0
NL11,curtailment,2015-03-13 12:00:00,-300000.0
NL11,curtailment,2015-03-13 15:00:00,-300000.0
NL11,curtailment,2015-03-13 18:00:00,-300000.0
NL11,curtailment,2015-03-13 21:00:00,-300000.0
NL11,curtailment,2015-03-14 00:00:00,-300000.0
NL11,curtailment,2015-03-14 03:00:00,-300000.0
NL11,curtailment,2015-03-14 06:00:00,-300000.0
NL11,curtailment,2015-03-14 09:00:00,-300000.0
NL11,curtailment,2015-03-14 12:00:00,-300000.0
NL11,curtailment,2015-03-14 15:00:00,-300000.0
NL11,curtailment,2015-03-14 18:00:00,-300000.0
NL11,curtailment,2015-03-14 21:00:00,-300000.0
NL11,curtailment,2015-03-15 00:00:00,-300000.0
NL11,curtailment,2015-03-15 03:00:00,-300000.0
NL11,curtailment,2015-03-15 06:00:00,-300000.0
NL11,curtailment,2015-03-15 09:00:00,-300000.0
NL11,curtailment,2015-03-15 12:00:00,-300000.0
NL11,curtailment,2015-03-15 15:00:00,-300000.0
NL11,curtailment,2015-03-15 18:00:00,-300000.0
NL11,curtailment,2015-03-15 21:00:00,-300000.0
NL11,curtailment,2015-03-16 00:00:00,-300000.0
NL11,curtailment,2015-03-16 03:00:00,-300000.0
NL11,curtailment,2015-03-16 06:00:00,-300000.0
NL11,curtailment,2015-03-16 09:00:00,-300000.0
NL11,curtailment,2015-03-16 12:00:00,-300000.0
NL11,curtailment,2015-03-16 15:00:00,-300000.0
NL11,curtailment,2015-03-16 18:00:00,-300000.0
NL11,curtailment,2015-03-16 21:00:00,-300000.0
NL11,curtailment,2015-03-17 00:00:00,-300000.0
NL11,curtailment,2015-03-17 03:00:00,-300000.0
NL11,curtailment,2015-03-17 06:00:00,-300000.0
NL11,curtailment,2015-03-17 09:00:00,-300000.0
NL11,curtailment,2015-03-17 12:00:00,-300000.0
NL11,curtailment,2015-03-17 15:00:00,-300000.0
NL11,curtailment,2015-03-17 18:00:00,-300000.0
NL11,curtailment,2015-03-17 21:00:00,-300000.0
NL11,curtailment,2015-03-18 00:00:00,-300000.0
NL11,curtailment,2015-03-18 03:00:00,-300000.0
NL11,curtailment,2015-03-18 06:00:00,-300000.0
NL11,curtailment,2015-03-18 09:00:00,-300000.0
NL11,curtailment,2015-03-18 12:00:00,-300000.0
NL11,curtailment,2015-03-18 15:00:00,-300000.0
NL11,curtailment,2015-03-18 18:00:00,-300000.0
NL11,curtailment,2015-03-18 21:00:00,-300000.0
NL11,curtailment,2015-03-19 00:00:00,-300000.0
NL11,curtailment,2015-03-19 03:00:00,-300000.0
NL11,curtailment,2015-03-19 06:00:00,-300000.0
NL11,curtailment,2015-03-19 09:00:00,-300000.0
NL11,curtailment,2015-03-19 12:00:00,-300000.0
NL11,curtailment,2015-03-19 15:00:00,-300000.0
NL11,curtailment,2015-03-19 18:00:00,-300000.0
NL11,curtailment,2015-03-19 21:00:00,-300000.0
NL11,curtailment,2015-03-20 00:00:00,-300000.0
NL11,curtailment,2015-03-20 03:00:00,-300000.0
NL11,curtailment,2015-03-20 06:00:00,-300000.0
NL11,curtailment,2015-03-20 09:00:00,-300000.0
NL11,curtailment,2015-03-20 12:00:00,-300000.0
NL11,curtailment,2015-03-20 15:00:00,-300000.0
NL11,curtailment,2015-03-20 18:00:00,-300000.0
NL11,curtailment,2015-03-20 21:00:00,-300000.0
NL11,curtailment,2015-03-21 00:00:00,-300000.0
NL11,curtailment,2015-03-21 03:00:00,-300000.0
NL11,curtailment,2015-03-21 06:00:00,-300000.0
NL11,curtailment,2015-03-21 09:00:00,-300000.0
NL11,curtailment,2015-03-21 12:00:00,-300000.0
NL11,curtailment,2015-03-21 15:00:00,-300000.0
NL11,curtailment,2015-03-21 18:00:00,-300000.0
NL11,curtailment,2015-03-21 21:00:00,-300000.0
NL11,curtailment,2015-03-22 00:00:00,-300000.0
NL11,curtailment,2015-03-22 03:00:00,-300000.0
NL11,curtailment,2015-03-22 06:00:00,-300000.0
NL11,curtailment,2015-03-22 09:00:00,-300000.0
NL11,curtailment,2015-03-22 12:00:00,-300000.0
NL11,curtailment,2015-03-22 15:00:00,-300000.0
NL11,curtailment,2015-03-22 18:00:00,-300000.0
NL11,curtailment,2015-03-22 21:00:00,-300000.0
NL11,curtailment,2015-03-23 00:00:00,-300000.0
NL11,curtailment,2015-03-23 03:00:00,-300000.0
NL11,curtailment,2015-03-23 06:00:00,-300000.0
NL11,curtailment,2015-03-23 09:00:00,-300000.0
NL11,curtailment,2015-03-23 12:00:00,-300000.0
NL11,curtailment,2015-03-23 15:00:00,-300000.0
NL11,curtailment,2015-03-23 18:00:00,-300000.0
NL11,curtailment,2015-03-23 21:00:00,-300000.0
NL11,curtailment,2015-03-24 00:00:00,-300000.0
NL11,curtailment,2015-03-24 03:00:00,-300000.0
NL11,curtailment,2015-03-24 06:00:00,-300000.0
NL11,curtailment,2015-03-24 09:00:00,-300000.0
NL11,curtailment,2015-03-24 12:00:00,-300000.0
NL11,curtailment,2015-03-24 15:00:00,-300000.0
NL11,curtailment,2015-03-24 18:00:00,-300000.0
NL11,curtailment,2015-03-24 21:00:00,-300000.0
NL11,curtailment,2015-03-25 00:00:00,-300000.0
NL11,curtailment,2015-03-25 03:00:00,-300000.0
NL11,curtailment,2015-03-25 06:00:00,-300000.0
NL11,curtailment,2015-03-25 09:00:00,-300000.0
NL11,curtailment,2015-03-25 12:00:00,-300000.0
NL11,curtailment,2015-03-25 15:00:00,-300000.0
NL11,curtailment,2015-03-25 18:00:00,-300000.0
NL11,curtailment,2015-03-25 21:00:00,-300000.0
NL11,curtailment,2015-03-26 00:00:00,-300000.0
NL11,curtailment,2015-03-26 03:00:00,-300000.0
NL11,curtailment,2015-03-26 06:00:00,-300000.0
NL11,curtailment,2015-03-26 09:00:00,-300000.0
NL11,curtailment,2015-03-26 12:00:00,-300000.0
NL11,curtailment,2015-03-26 15:00:00,-300000.0
NL11,curtailment,2015-03-26 18:00:00,-300000.0
NL11,curtailment,2015-03-26 21:00:00,-300000.0
NL11,curtailment,2015-03-27 00:00:00,-300000.0
NL11,curtailment,2015-03-27 03:00:00,-300000.0
NL11,curtailment,2015-03-27 06:00:00,-300000.0
NL11,curtailment,2015-03-27 09:00:00,-300000.0
NL11,curtailment,2015-03-27 12:00:00,-300000.0
NL11,curtailment,2015-03-27 15:00:00,-300000.0
NL11,curtailment,2015-03-27 18:00:00,-300000.0
NL11,curtailment,2015-03-27 21:00:00,-300000.0
NL11,curtailment,2015-03-28 00:00:00,-300000.0
NL11,curtailment,2015-03-28 03:00:00,-300000.0
NL11,curtailment,2015-03-28 06:00:00,-300000.0
NL11,curtailment,2015-03-28 09:00:00,-300000.0
NL11,curtailment,2015-03-28 12:00:00,-300000.0
NL11,curtailment,2015-03-28 15:00:00,-300000.0
NL11,curtailment,2015-03-28 18:00:00,-300000.0
NL11,curtailment,2015-03-28 21:00:00,-300000.0
NL11,curtailment,2015-03-29 00:00:00,-300000.0
NL11,curtailment,2015-03-29 03:00:00,-300000.0
NL11,curtailment,2015-03-29 06:00:00,-300000.0
NL11,curtailment,2015-03-29 09:00:00,-300000.0
NL11,curtailment,2015-03-29 12:00:00,-300000.0
NL11,curtailment,2015-03-29 15:00:00,-300000.0
NL11,curtailment,2015-03-29 18:00:00,-300000.0
NL11,curtailment,2015-03-29 21:00:00,-300000.0
NL11,curtailment,2015-03-30 00:00:00,-300000.0
NL11,curtailment,2015-03-30 03:00:00,-300000.0
NL11,curtailment,2015-03-30 06:00:00,-300000.0
NL11,curtailment,2015-03-30 09:00:00,-300000.0
NL11,curtailment,2015-03-30 12:00:00,-300000.0
NL11,curtailment,2015-03-30 15:00:00,-300000.0
NL11,curtailment,2015-03-30 18:00:00,-300000.0
NL11,curtailment,2015-03-30 21:00:00,-300000.0
NL11,curtailment,2015-03-31 00:00:00,-300000.0
NL11,curtailment,2015-03-31 03:00:00,-300000.0
NL11,curtailment,2015-03-31 06:00:00,-300000.0
NL11,curtailment,2015-03-31 09:00:00,-300000.0
NL11,curtailment,2015-03-31 12:00:00,-300000.0
NL11,curtailment,2015-03-31 15:00:00,-300000.0
NL11,curtailment,2015-03-31 18:00:00,-300000.0
NL11,curtailment,2015-03-31 21:00:00,-300000.0
NL11,demand_electricity,2015-03-01 00:00:00,-817.5795652045842
NL11,demand_electricity,2015-03-01 03:00:00,-802.1276780190976
NL11,demand_electricity,2015-03-01 06:00:00,-928.6207323180258
NL11,demand_electricity,2015-03-01 09:00:00,-1043.6362207474685
NL11,demand_electricity,2015-03-01 12:00:00,-1030.890983423741
NL11,demand_electricity,2015-03-01 15:00:00,-1142.1377188811139
NL11,demand_electricity,2015-03-01 18:00:00,-1210.1808407223034
NL11,demand_electricity,2015-03-01 21:00:00,-968.8436049472084
NL11,demand_electricity,2015-03-02 00:00:00,-832.0378720610706
NL11,demand_electricity,2015-03-02 03:00:00,-929.1346531778536
NL11,demand_electricity,2015-03-02 06:00:00,-1360.1429476200306
NL11,demand_electricity,2015-03-02 09:00:00,-1412.0146930719748
NL11,demand_electricity,2015-03-02 12:00:00,-1432.9484027622902
NL11,demand_electricity,2015-03-02 15:00:00,-1460.5973450210213
NL11,demand_electricity,2015-03-02 18:00:00,-1410.5071918831468
NL11,demand_electricity,2015-03-02 21:00:00,-1067.6534555967505
NL11,demand_electricity,2015-03-03 00:00:00,-874.6590420361158
NL11,demand_electricity,2015-03-03 03:00:00,-954.6936506066187
NL11,demand_electricity,2015-03-03 06:00:00,-1399.0981487949714
NL11,demand_electricity,2015-03-03 09:00:00,-1523.74108799852
NL11,demand_electricity,2015-03-03 12:00:00,-1487.0128772161659
NL11,demand_electricity,2015-03-03 15:00:00,-1464.9828030248843
NL11,demand_electricity,2015-03-03 18:00:00,-1415.0639568402858
NL11,demand_electricity,2015-03-03 21:00:00,-1087.113925488893
NL11,demand_electricity,2015-03-04 00:00:00,-906.6591809080549
NL11,demand_electricity,2015-03-04 03:00:00,-981.1434441924184
NL11,demand_electricity,2015-03-04 06:00:00,-1414.344467636527
NL11,demand_electricity,2015-03-04 09:00:00,-1498.6960114295825
NL11,demand_electricity,2015-03-04 12:00:00,-1481.6681002739576
NL11,demand_electricity,2015-03-04 15:00:00,-1493.45401865934
NL11,demand_electricity,2015-03-04 18:00:00,-1428.5972061490822
NL11,demand_electricity,2015-03-04 21:00:00,-1094.3430789171364
NL11,demand_electricity,2015-03-05 00:00:00,-905.4600322351234
NL11,demand_electricity,2015-03-05 03:00:00,-986.556743915937
NL11,demand_electricity,2015-03-05 06:00:00,-1409.1709976475945
NL11,demand_electricity,2015-03-05 09:00:00,-1453.1968846395023
NL11,demand_electricity,2015-03-05 12:00:00,-1417.1196402795965
NL11,demand_electricity,2015-03-05 15:00:00,-1452.8885321236055
NL11,demand_electricity,2015-03-05 18:00:00,-1431.3381174014967
NL11,demand_electricity,2015-03-05 21:00:00,-1082.694206094375
NL11,demand_electricity,2015-03-06 00:00:00,-877.913874148358
NL11,demand_electricity,2015-03-06 03:00:00,-949.1775667111344
NL11,demand_electricity,2015-03-06 06:00:00,-1404.8198010343867
NL11,demand_electricity,2015-03-06 09:00:00,-1487.424013904028
NL11,demand_electricity,2015-03-06 12:00:00,-1434.6614722950494
NL11,demand_electricity,2015-03-06 15:00:00,-1410.3016235392156
NL11,demand_electricity,2015-03-06 18:00:00,-1352.6054416758907
NL11,demand_electricity,2015-03-06 21:00:00,-1060.4585635591625
NL11,demand_electricity,2015-03-07 00:00:00,-882.6762074494283
NL11,demand_electricity,2015-03-07 03:00:00,-879.1130228212894
NL11,demand_electricity,2015-03-07 06:00:00,-1109.418090805416
NL11,demand_electricity,2015-03-07 09:00:00,-1206.8232244380956
NL11,demand_electricity,2015-03-07 12:00:00,-1112.638661527003
NL11,demand_electricity,2015-03-07 15:00:00,-1179.4826346952614
NL11,demand_electricity,2015-03-07 18:00:00,-1225.8725576423763
NL11,demand_electricity,2015-03-07 21:00:00,-999.0278901144228
NL11,demand_electricity,2015-03-08 00:00:00,-827.0357090254141
NL11,demand_electricity,2015-03-08 03:00:00,-814.5645628269283
NL11,demand_electricity,2015-03-08 06:00:00,-924.475104048749
NL11,demand_electricity,2015-03-08 09:00:00,-997.0407294564222
NL11,demand_electricity,2015-03-08 12:00:00,-956.7150726552743
NL11,demand_electricity,2015-03-08 15:00:00,-1089.2723931001697
NL11,demand_electricity,2015-03-08 18:00:00,-1198.4291837275762
NL11,demand_electricity,2015-03-08 21:00:00,-959.0448472198266
NL11,demand_electricity,2015-03-09 00:00:00,-822.9586035374476
NL11,demand_electricity,2015-03-09 03:00:00,-923.8583990169557
NL11,demand_electricity,2015-03-09 06:00:00,-1363.260734169652
NL11,demand_electricity,2015-03-09 09:00:00,-1447.09835710288
NL11,demand_electricity,2015-03-09 12:00:00,-1407.183836989594
NL11,demand_electricity,2015-03-09 15:00:00,-1414.7556043243892
NL11,demand_electricity,2015-03-09 18:00:00,-1387.1751848469685
NL11,demand_electricity,2015-03-09 21:00:00,-1048.5013382205043
NL11,demand_electricity,2015-03-10 00:00:00,-853.9309006897314
NL11,demand_electricity,2015-03-10 03:00:00,-930.1624948975091
NL11,demand_electricity,2015-03-10 06:00:00,-1341.676058056888
NL11,demand_electricity,2015-03-10 09:00:00,-1361.5819260275482
NL11,demand_electricity,2015-03-10 12:00:00,-1334.0700293314378
NL11,demand_electricity,2015-03-10 15:00:00,-1368.9138636277569
NL11,demand_electricity,2015-03-10 18:00:00,-1374.0188108353789
NL11,demand_electricity,2015-03-10 21:00:00,-1051.7219089420912
NL11,demand_electricity,2015-03-11 00:00:00,-875.8924520997023
NL11,demand_electricity,2015-03-11 03:00:00,-951.6101254476523
NL11,demand_electricity,2015-03-11 06:00:00,-1368.0915902520326
NL11,demand_electricity,2015-03-11 09:00:00,-1405.5050288474904
NL11,demand_electricity,2015-03-11 12:00:00,-1338.24991899137
NL11,demand_electricity,2015-03-11 15:00:00,-1375.1151753363447
NL11,demand_electricity,2015-03-11 18:00:00,-1376.8967676504142
NL11,demand_electricity,2015-03-11 21:00:00,-1061.657712232094
NL11,demand_electricity,2015-03-12 00:00:00,-877.708305804427
NL11,demand_electricity,2015-03-12 03:00:00,-957.6401302029642
NL11,demand_electricity,2015-03-12 06:00:00,-1351.9544752534425
NL11,demand_electricity,2015-03-12 09:00:00,-1366.7211346258255
NL11,demand_electricity,2015-03-12 12:00:00,-1325.8815569648496
NL11,demand_electricity,2015-03-12 15:00:00,-1369.0166477997225
NL11,demand_electricity,2015-03-12 18:00:00,-1387.0724006750029
NL11,demand_electricity,2015-03-12 21:00:00,-1059.8761199180244
NL11,demand_electricity,2015-03-13 00:00:00,-890.2479747842233
NL11,demand_electricity,2015-03-13 03:00:00,-966.479568992001
NL11,demand_electricity,2015-03-13 06:00:00,-1356.8881155077884
NL11,demand_electricity,2015-03-13 09:00:00,-1392.4514390078662
NL11,demand_electricity,2015-03-13 12:00:00,-1356.990899679754
NL11,demand_electricity,2015-03-13 15:00:00,-1364.3913600612732
NL11,demand_electricity,2015-03-13 18:00:00,-1350.6525424085453
NL11,demand_electricity,2015-03-13 21:00:00,-1058.1630503852653
NL11,demand_electricity,2015-03-14 00:00:00,-873.8367686603915
NL11,demand_electricity,2015-03-14 03:00:00,-875.6183609744609
NL11,demand_electricity,2015-03-14 06:00:00,-1104.1760980351733
NL11,demand_electricity,2015-03-14 09:00:00,-1257.1874687012116
NL11,demand_electricity,2015-03-14 12:00:00,-1216.347891040236
NL11,demand_electricity,2015-03-14 15:00:00,-1259.1061065779018
NL11,demand_electricity,2015-03-14 18:00:00,-1230.5321067714808
NL11,demand_electricity,2015-03-14 21:00:00,-985.426118024316
NL11,demand_electricity,2015-03-15 00:00:00,-798.1190953124415
NL11,demand_electricity,2015-03-15 03:00:00,-787.2924958654042
NL11,demand_electricity,2015-03-15 06:00:00,-932.3894852900958
NL11,demand_electricity,2015-03-15 09:00:00,-1101.4009253921035
NL11,demand_electricity,2015-03-15 12:00:00,-1087.1824482702036
NL11,demand_electricity,2015-03-15 15:00:00,-1163.2769969153605
NL11,demand_electricity,2015-03-15 18:00:00,-1205.6925985464745
NL11,demand_electricity,2015-03-15 21:00:00,-949.6229647896519
NL11,demand_electricity,2015-03-16 00:00:00,-805.0741576154433
NL11,demand_electricity,2015-03-16 03:00:00,-909.6056605044005
NL11,demand_electricity,2015-03-16 06:00:00,-1332.2199142360582
NL11,demand_electricity,2015-03-16 09:00:00,-1366.4470435005837
NL11,demand_electricity,2015-03-16 12:00:00,-1340.4769093839568
NL11,demand_electricity,2015-03-16 15:00:00,-1366.2414751566528
NL11,demand_electricity,2015-03-16 18:00:00,-1363.603348076204
NL11,demand_electricity,2015-03-16 21:00:00,-1044.4584941231928
NL11,demand_electricity,2015-03-17 00:00:00,-876.5091571314956
NL11,demand_electricity,2015-03-17 03:00:00,-961.6829743002756
NL11,demand_electricity,2015-03-17 06:00:00,-1356.271410475995
NL11,demand_electricity,2015-03-17 09:00:00,-1376.8967676504142
NL11,demand_electricity,2015-03-17 12:00:00,-1341.504751103612
NL11,demand_electricity,2015-03-17 15:00:00,-1363.8089164201351
NL11,demand_electricity,2015-03-17 18:00:00,-1380.1515997626564
NL11,demand_electricity,2015-03-17 21:00:00,-1063.1652134209216
NL11,demand_electricity,2015-03-18 00:00:00,-881.4427973858417
NL11,demand_electricity,2015-03-18 03:00:00,-956.1668904047915
NL11,demand_electricity,2015-03-18 06:00:00,-1370.421364816585
NL11,demand_electricity,2015-03-18 09:00:00,-1435.552268452084
NL11,demand_electricity,2015-03-18 12:00:00,-1418.9697553749763
NL11,demand_electricity,2015-03-18 15:00:00,-1436.2374962651875
NL11,demand_electricity,2015-03-18 18:00:00,-1391.6976884134524
NL11,demand_electricity,2015-03-18 21:00:00,-1073.0324939296138
NL11,demand_electricity,2015-03-19 00:00:00,-880.2779101035654
NL11,demand_electricity,2015-03-19 03:00:00,-955.7214923262741
NL11,demand_electricity,2015-03-19 06:00:00,-1392.8625756957285
NL11,demand_electricity,2015-03-19 09:00:00,-1462.24189177247
NL11,demand_electricity,2015-03-19 12:00:00,-1405.8819041446973
NL11,demand_electricity,2015-03-19 15:00:00,-1399.5778082641439
NL11,demand_electricity,2015-03-19 18:00:00,-1396.5285444958329
NL11,demand_electricity,2015-03-19 21:00:00,-1081.7348871560298
NL11,demand_electricity,2015-03-20 00:00:00,-890.9332025973267
NL11,demand_electricity,2015-03-20 03:00:00,-958.5651877506541
NL11,demand_electricity,2015-03-20 06:00:00,-1392.5542231798318
NL11,demand_electricity,2015-03-20 09:00:00,-1508.59755332893
NL11,demand_electricity,2015-03-20 12:00:00,-1414.3102062458718
NL11,demand_electricity,2015-03-20 15:00:00,-1390.8411536470728
NL11,demand_electricity,2015-03-20 18:00:00,-1351.8174296908214
NL11,demand_electricity,2015-03-20 21:00:00,-1061.4521438881627
NL11,demand_electricity,2015-03-21 00:00:00,-867.1557974826312
NL11,demand_electricity,2015-03-21 03:00:00,-856.2949366449388
NL11,demand_electricity,2015-03-21 06:00:00,-1082.351592187823
NL11,demand_electricity,2015-03-21 09:00:00,-1230.8404592873776
NL11,demand_electricity,2015-03-21 12:00:00,-1152.2790905150473
NL11,demand_electricity,2015-03-21 15:00:00,-1216.8618119000637
NL11,demand_electricity,2015-03-21 18:00:00,-1224.8104545320657
NL11,demand_electricity,2015-03-21 21:00:00,-994.1627726413872
NL11,demand_electricity,2015-03-22 00:00:00,-820.9714428794472
NL11,demand_electricity,2015-03-22 03:00:00,-800.2433015330627
NL11,demand_electricity,2015-03-22 06:00:00,-940.7492646099599
NL11,demand_electricity,2015-03-22 09:00:00,-1058.848278198369
NL11,demand_electricity,2015-03-22 12:00:00,-988.8865184804893
NL11,demand_electricity,2015-03-22 15:00:00,-1078.2402253092014
NL11,demand_electricity,2015-03-22 18:00:00,-1218.5748814328226
NL11,demand_electricity,2015-03-22 21:00:00,-977.3061684390382
NL11,demand_electricity,2015-03-23 00:00:00,-820.7658745355159
NL11,demand_electricity,2015-03-23 03:00:00,-917.3829961831266
NL11,demand_electricity,2015-03-23 06:00:00,-1330.8151972191956
NL11,demand_electricity,2015-03-23 09:00:00,-1392.1773478826249
NL11,demand_electricity,2015-03-23 12:00:00,-1351.7831683001664
NL11,demand_electricity,2015-03-23 15:00:00,-1357.3677749769608
NL11,demand_electricity,2015-03-23 18:00:00,-1365.864599859446
NL11,demand_electricity,2015-03-23 21:00:00,-1044.115880216641
NL11,demand_electricity,2015-03-24 00:00:00,-861.7424977591127
NL11,demand_electricity,2015-03-24 03:00:00,-937.3573869350971
NL11,demand_electricity,2015-03-24 06:00:00,-1340.0315113054394
NL11,demand_electricity,2015-03-24 09:00:00,-1381.419271216898
NL11,demand_electricity,2015-03-24 12:00:00,-1381.008134529036
NL11,demand_electricity,2015-03-24 15:00:00,-1396.97394257435
NL11,demand_electricity,2015-03-24 18:00:00,-1367.61193078286
NL11,demand_electricity,2015-03-24 21:00:00,-1045.3492902802275
NL11,demand_electricity,2015-03-25 00:00:00,-863.5583514638372
NL11,demand_electricity,2015-03-25 03:00:00,-940.4066507034081
NL11,demand_electricity,2015-03-25 06:00:00,-1388.408594910555
NL11,demand_electricity,2015-03-25 09:00:00,-1492.1178244237879
NL11,demand_electricity,2015-03-25 12:00:00,-1471.8693425465758
NL11,demand_electricity,2015-03-25 15:00:00,-1444.460230022431
NL11,demand_electricity,2015-03-25 18:00:00,-1377.7875638074488
NL11,demand_electricity,2015-03-25 21:00:00,-1055.0110024449887
NL11,demand_electricity,2015-03-26 00:00:00,-868.2179005929418
NL11,demand_electricity,2015-03-26 03:00:00,-939.1389792491665
NL11,demand_electricity,2015-03-26 06:00:00,-1341.6075352755777
NL11,demand_electricity,2015-03-26 09:00:00,-1440.691477050361
NL11,demand_electricity,2015-03-26 12:00:00,-1468.340419309092
NL11,demand_electricity,2015-03-26 15:00:00,-1477.762301739267
NL11,demand_electricity,2015-03-26 18:00:00,-1400.8454797183856
NL11,demand_electricity,2015-03-26 21:00:00,-1060.2872566058866
NL11,demand_electricity,2015-03-27 00:00:00,-865.7168190751136
