carriers,locs,timesteps,system_balance
electricity,NL11,2015-03-16 21:00:00,0.0
electricity,NL11,2015-03-17 00:00:00,-9.99999986106559e-06
electricity,NL11,2015-03-17 03:00:00,1.0000000088439265e-05
electricity,NL11,2015-03-17 06:00:00,5.599999985861359e-05
electricity,NL11,2015-03-17 09:00:00,1.4700000065204222e-05
electricity,NL11,2015-03-17 12:00:00,-9.949999980563007e-05
electricity,NL11,2015-03-17 15:00:00,2.199999994445534e-05
electricity,NL11,2015-03-17 18:00:00,0.0
electricity,NL11,2015-03-17 21:00:00,1.0000000202126103e-05
electricity,NL11,2015-03-18 00:00:00,0.0
electricity,NL11,2015-03-18 03:00:00,-3.08999995013437e-06
electricity,NL11,2015-03-18 06:00:00,-1.049999991664663e-05
electricity,NL11,2015-03-18 09:00:00,-5.29999999798747e-05
electricity,NL11,2015-03-18 12:00:00,-6.9000002440589014e-06
electricity,NL11,2015-03-18 15:00:00,-3.2899999951041536e-05
electricity,NL11,2015-03-18 18:00:00,-5.999999984851456e-05
electricity,NL11,2015-03-18 21:00:00,0.0
electricity,NL11,2015-03-19 00:00:00,0.0
electricity,NL11,2015-03-19 03:00:00,0.0
electricity,NL11,2015-03-19 06:00:00,-2.1500000002561137e-05
electricity,NL11,2015-03-19 09:00:00,-9.999999974752427e-06
electricity,NL11,2015-03-19 12:00:00,-8.600000001024455e-06
electricity,NL11,2015-03-19 15:00:00,2.790000007735216e-05
electricity,NL11,2015-03-19 18:00:00,4.0000000126383384e-05
electricity,NL11,2015-03-19 21:00:00,-1.9999999949504854e-05
electricity,NL11,2015-03-20 00:00:00,0.0
electricity,NL11,2015-03-20 03:00:00,0.0
electricity,NL11,2015-03-20 06:00:00,-8.199999911084888e-06
electricity,NL11,2015-03-20 09:00:00,-6.869999992886733e-05
electricity,NL11,2015-03-20 12:00:00,9.000000318337698e-07
electricity,NL11,2015-03-20 15:00:00,-8.700000080352766e-06
electricity,NL11,2015-03-20 18:00:00,6.000000007588824e-05
electricity,NL11,2015-03-20 21:00:00,4.0000000126383384e-05
electricity,NL11,2015-03-21 00:00:00,-5.999999984851456e-06
electricity,NL11,2015-03-21 03:00:00,0.0
electricity,NL11,2015-03-21 06:00:00,-4.6299999212351395e-06
electricity,NL11,2015-03-21 09:00:00,-3.429999992476951e-05
electricity,NL11,2015-03-21 12:00:00,-1.3999999737279722e-06
electricity,NL11,2015-03-21 15:00:00,-1.370000060063603e-06
electricity,NL11,2015-03-21 18:00:00,-1.000000011330826e-05
electricity,NL11,2015-03-21 21:00:00,3.500000025269401e-05
electricity,NL11,2015-03-22 00:00:00,-9.999999086574007e-07
electricity,NL11,2015-03-22 03:00:00,3.160999995088787e-06
electricity,NL11,2015-03-22 06:00:00,6.199999916134402e-06
electricity,NL11,2015-03-22 09:00:00,-2.6000000161729986e-05
electricity,NL11,2015-03-22 12:00:00,0.0
electricity,NL11,2015-03-22 15:00:00,2.6400000024295878e-05
electricity,NL11,2015-03-22 18:00:00,-5.000000010113581e-05
electricity,NL11,2015-03-22 21:00:00,0.0
electricity,NL11,2015-03-23 00:00:00,0.0
electricity,NL11,2015-03-23 03:00:00,0.0
electricity,NL11,2015-03-23 06:00:00,-7.200000027296483e-06
electricity,NL11,2015-03-23 09:00:00,4.489999992074445e-05
electricity,NL11,2015-03-23 12:00:00,-3.670000000965956e-05
electricity,NL11,2015-03-23 15:00:00,-3.0599999945479794e-05
electricity,NL11,2015-03-23 18:00:00,-2.000000017687853e-05
electricity,NL11,2015-03-23 21:00:00,-1.9999999949504854e-05
electricity,NL11,2015-03-24 00:00:00,0.0
electricity,NL11,2015-03-24 03:00:00,0.0
electricity,NL11,2015-03-24 06:00:00,1.4400000054592965e-05
electricity,NL11,2015-03-24 09:00:00,-2.1000000060666935e-05
electricity,NL11,2015-03-24 12:00:00,3.229999992981902e-05
electricity,NL11,2015-03-24 15:00:00,2.0300000048933953e-05
electricity,NL11,2015-03-24 18:00:00,9.000000090964022e-06
electricity,NL11,2015-03-24 21:00:00,-1.0000000202126103e-05
electricity,NL11,2015-03-25 00:00:00,0.0
electricity,NL11,2015-03-25 03:00:00,0.0
electricity,NL11,2015-03-25 06:00:00,-9.169999884761637e-06
electricity,NL11,2015-03-25 09:00:00,5.580000015470432e-05
electricity,NL11,2015-03-25 12:00:00,2.109999991262157e-05
electricity,NL11,2015-03-25 15:00:00,1.9459999975879327e-05
electricity,NL11,2015-03-25 18:00:00,-6.000000007588824e-05
electricity,NL11,2015-03-25 21:00:00,1.0000000202126103e-05
electricity,NL11,2015-03-26 00:00:00,0.0
electricity,NL11,2015-03-26 03:00:00,2.530000074330019e-06
electricity,NL11,2015-03-26 06:00:00,3.509999987727497e-05
electricity,NL11,2015-03-26 09:00:00,-2.8299999939918052e-05
electricity,NL11,2015-03-26 12:00:00,1.849999989644857e-05
electricity,NL11,2015-03-26 15:00:00,-1.9800002064584987e-06
electricity,NL11,2015-03-26 18:00:00,1.0000000202126103e-05
electricity,NL11,2015-03-26 21:00:00,-3.999999989900971e-05
electricity,NL11,2015-03-27 00:00:00,-4.9999999873762135e-06
electricity,NL11,2015-03-27 03:00:00,4.5299999555936665e-06
electricity,NL11,2015-03-27 06:00:00,-8.19999997929699e-05
electricity,NL11,2015-03-27 09:00:00,-3.5799999750452116e-05
electricity,NL11,2015-03-27 12:00:00,1.9609999842629122e-05
electricity,NL11,2015-03-27 15:00:00,-5.80000005356851e-06
electricity,NL11,2015-03-27 18:00:00,2.000000017687853e-05
electricity,NL11,2015-03-27 21:00:00,0.0
electricity,NL11,2015-03-28 00:00:00,0.0
electricity,NL11,2015-03-28 03:00:00,-3.734900019480847e-06
electricity,NL11,2015-03-28 06:00:00,4.579999995257822e-05
electricity,NL11,2015-03-28 09:00:00,2.6999999818144715e-05
electricity,NL11,2015-03-28 12:00:00,-1.0999999977778785e-05
electricity,NL11,2015-03-28 15:00:00,-3.34300001689769e-05
electricity,NL11,2015-03-28 18:00:00,-2.199999994445534e-05
electricity,NL11,2015-03-28 21:00:00,4.700000022239692e-05
electricity,NL11,2015-03-29 00:00:00,-3.400000002784509e-05
electricity,NL11,2015-03-29 03:00:00,7.949998916956247e-07
electricity,NL11,2015-03-29 06:00:00,-2.4830000029396615e-05
electricity,NL11,2015-03-29 09:00:00,6.550000011884549e-05
electricity,NL11,2015-03-29 12:00:00,2.5299999833805487e-05
electricity,NL11,2015-03-29 15:00:00,3.73400000626134e-05
electricity,NL11,2015-03-29 18:00:00,1.5000000075815478e-05
electricity,NL11,2015-03-29 21:00:00,3.599999999792658e-05
electricity,NL11,2015-03-30 00:00:00,2.5999999909487315e-05
electricity,NL11,2015-03-30 03:00:00,3.359099991939729e-05
electricity,NL11,2015-03-30 06:00:00,4.7999997150327545e-06
electricity,NL11,2015-03-30 09:00:00,6.900000002829643e-05
electricity,NL11,2015-03-30 12:00:00,2.4000000848900527e-06
electricity,NL11,2015-03-30 15:00:00,6.499999788189825e-06
electricity,NL11,2015-03-30 18:00:00,-5.999999984851456e-06
electricity,NL11,2015-03-30 21:00:00,-3.1999999830389925e-05
electricity,NL11,2015-03-31 00:00:00,3.599999988423974e-05
electricity,NL11,2015-03-31 03:00:00,-1.767400021890353e-05
electricity,NL11,2015-03-31 06:00:00,-2.700000004551839e-05
electricity,NL11,2015-03-31 09:00:00,-7.600000028418208e-06
electricity,NL11,2015-03-31 12:00:00,-2.380000000812288e-05
electricity,NL11,2015-03-31 15:00:00,-6.000000007588824e-05
electricity,NL11,2015-03-31 18:00:00,2.800000015668047e-05
electricity,NL11,2015-03-31 21:00:00,-1.4000000078340236e-05
electricity,NL12,2015-03-01 00:00:00,7.999999866115104e-06
electricity,NL12,2015-03-01 03:00:00,4.5999999997548e-05
electricity,NL12,2015-03-01 06:00:00,1.499999996212864e-05
electricity,NL12,2015-03-01 09:00:00,-3.420999985337403e-05
electricity,NL12,2015-03-01 12:00:00,-3.340000034768309e-06
electricity,NL12,2015-03-01 15:00:00,2.880000010918593e-06
electricity,NL12,2015-03-01 18:00:00,3.7400000110210385e-06
electricity,NL12,2015-03-01 21:00:00,0.0
electricity,NL12,2015-03-02 00:00:00,2.7999999929306796e-05
electricity,NL12,2015-03-02 03:00:00,-3.3999999800471414e-05
electricity,NL12,2015-03-02 06:00:00,-1.820999991863914e-05
electricity,NL12,2015-03-02 09:00:00,-7.133999988795381e-05
electricity,NL12,2015-03-02 12:00:00,-4.972000021896683e-05
electricity,NL12,2015-03-02 15:00:00,1.07399998796609e-05
electricity,NL12,2015-03-02 18:00:00,-3.6000000275038246e-05
electricity,NL12,2015-03-02 21:00:00,-1.9999999949504854e-06
electricity,NL12,2015-03-03 00:00:00,-1.1339999925752409e-05
electricity,NL12,2015-03-03 03:00:00,-3.410000115167122e-06
electricity,NL12,2015-03-03 06:00:00,4.3340000047464855e-05
electricity,NL12,2015-03-03 09:00:00,3.948000016862352e-05
electricity,NL12,2015-03-03 12:00:00,-5.999999984851456e-06
electricity,NL12,2015-03-03 15:00:00,-4.069999999956053e-05
electricity,NL12,2015-03-03 18:00:00,-2.999999992425728e-05
electricity,NL12,2015-03-03 21:00:00,9.99999972606247e-07
electricity,NL12,2015-03-04 00:00:00,-5.5609999911609975e-06
electricity,NL12,2015-03-04 03:00:00,-1.3399999509999816e-06
electricity,NL12,2015-03-04 06:00:00,2.533999986553681e-05
electricity,NL12,2015-03-04 09:00:00,-9.20999982767512e-06
electricity,NL12,2015-03-04 12:00:00,2.16599999909306e-05
electricity,NL12,2015-03-04 15:00:00,2.939999831141904e-06
electricity,NL12,2015-03-04 18:00:00,-2.5200001800840255e-06
electricity,NL12,2015-03-04 21:00:00,7.999999979801942e-06
electricity,NL12,2015-03-05 00:00:00,9.999999974752427e-06
electricity,NL12,2015-03-05 03:00:00,0.0
electricity,NL12,2015-03-05 06:00:00,4.500000000007276e-05
electricity,NL12,2015-03-05 09:00:00,6.999999868639861e-06
electricity,NL12,2015-03-05 12:00:00,-7.999999979801942e-06
electricity,NL12,2015-03-05 15:00:00,-4.399999988891068e-05
electricity,NL12,2015-03-05 18:00:00,-4.9999999873762135e-05
electricity,NL12,2015-03-05 21:00:00,0.0
electricity,NL12,2015-03-06 00:00:00,0.0
electricity,NL12,2015-03-06 03:00:00,0.0
electricity,NL12,2015-03-06 06:00:00,-8.999999863590347e-06
electricity,NL12,2015-03-06 09:00:00,7.999999979801942e-06
electricity,NL12,2015-03-06 12:00:00,2.9999998787388904e-06
electricity,NL12,2015-03-06 15:00:00,5.999999984851456e-06
electricity,NL12,2015-03-06 18:00:00,-4.0000000126383384e-05
electricity,NL12,2015-03-06 21:00:00,-3.9999997625272954e-07
electricity,NL12,2015-03-07 00:00:00,-6.099994820374377e-08
electricity,NL12,2015-03-07 03:00:00,-1.2399999853585086e-06
electricity,NL12,2015-03-07 06:00:00,-2.660000063769985e-06
electricity,NL12,2015-03-07 09:00:00,-3.099998764355405e-07
electricity,NL12,2015-03-07 12:00:00,-9.340000158175599e-06
electricity,NL12,2015-03-07 15:00:00,4.179999995024275e-06
electricity,NL12,2015-03-07 18:00:00,-3.6600000612452277e-06
electricity,NL12,2015-03-07 21:00:00,9.99999972606247e-07
electricity,NL12,2015-03-08 00:00:00,-4.2099999539857436e-06
electricity,NL12,2015-03-08 03:00:00,-1.7399998135658734e-06
electricity,NL12,2015-03-08 06:00:00,5.999999984851456e-06
electricity,NL12,2015-03-08 09:00:00,-4.999999873689376e-06
electricity,NL12,2015-03-08 12:00:00,0.0
electricity,NL12,2015-03-08 15:00:00,9.999999974752427e-07
electricity,NL12,2015-03-08 18:00:00,0.0
electricity,NL12,2015-03-08 21:00:00,0.0
electricity,NL12,2015-03-09 00:00:00,0.0
electricity,NL12,2015-03-09 03:00:00,-2.999999992425728e-06
electricity,NL12,2015-03-09 06:00:00,-8.879999995770049e-05
electricity,NL12,2015-03-09 09:00:00,-1.5999999959603883e-05
electricity,NL12,2015-03-09 12:00:00,-4.0000000126383384e-05
electricity,NL12,2015-03-09 15:00:00,1.9999999949504854e-05
electricity,NL12,2015-03-09 18:00:00,1.9999999949504854e-05
electricity,NL12,2015-03-09 21:00:00,0.0
electricity,NL12,2015-03-10 00:00:00,0.0
electricity,NL12,2015-03-10 03:00:00,-9.999999974752427e-06
electricity,NL12,2015-03-10 06:00:00,3.80000001314329e-05
electricity,NL12,2015-03-10 09:00:00,1.9999999949504854e-05
electricity,NL12,2015-03-10 12:00:00,-5.000000010113581e-05
electricity,NL12,2015-03-10 15:00:00,-4.1999999893960194e-05
electricity,NL12,2015-03-10 18:00:00,-9.999999974752427e-06
electricity,NL12,2015-03-10 21:00:00,0.0
electricity,NL12,2015-03-11 00:00:00,-4.9999999873762135e-06
electricity,NL12,2015-03-11 03:00:00,-4.9999999873762135e-06
electricity,NL12,2015-03-11 06:00:00,8.92999998995947e-05
electricity,NL12,2015-03-11 09:00:00,3.179999998792482e-05
electricity,NL12,2015-03-11 12:00:00,3.319999996165279e-05
electricity,NL12,2015-03-11 15:00:00,5.59499997052626e-05
electricity,NL12,2015-03-11 18:00:00,4.899999998997373e-05
electricity,NL12,2015-03-11 21:00:00,0.0
electricity,NL12,2015-03-12 00:00:00,0.0
electricity,NL12,2015-03-12 03:00:00,5.999999984851456e-06
electricity,NL12,2015-03-12 06:00:00,3.100000003541936e-05
electricity,NL12,2015-03-12 09:00:00,-2.999999992425728e-05
electricity,NL12,2015-03-12 12:00:00,-9.999999974752427e-06
electricity,NL12,2015-03-12 15:00:00,1.1000000085914508e-05
electricity,NL12,2015-03-12 18:00:00,-1.9999999949504854e-05
electricity,NL12,2015-03-12 21:00:00,0.0
electricity,NL12,2015-03-13 00:00:00,0.0
electricity,NL12,2015-03-13 03:00:00,0.0
electricity,NL12,2015-03-13 06:00:00,-1.799999995455437e-05
electricity,NL12,2015-03-13 09:00:00,4.0000000126383384e-05
electricity,NL12,2015-03-13 12:00:00,3.999999989900971e-05
electricity,NL12,2015-03-13 15:00:00,1.9999999949504854e-05
electricity,NL12,2015-03-13 18:00:00,-9.999999974752427e-06
electricity,NL12,2015-03-13 21:00:00,0.0
electricity,NL12,2015-03-14 00:00:00,0.0
electricity,NL12,2015-03-14 03:00:00,0.0
electricity,NL12,2015-03-14 06:00:00,-2.000000108637323e-06
electricity,NL12,2015-03-14 09:00:00,2.000000108637323e-06
electricity,NL12,2015-03-14 12:00:00,0.0
electricity,NL12,2015-03-14 15:00:00,4.300000000512227e-06
electricity,NL12,2015-03-14 18:00:00,0.0
electricity,NL12,2015-03-14 21:00:00,0.0
electricity,NL12,2015-03-15 00:00:00,7.999999979801942e-06
electricity,NL12,2015-03-15 03:00:00,-2.000000108637323e-06
electricity,NL12,2015-03-15 06:00:00,-9.999999974752427e-07
electricity,NL12,2015-03-15 09:00:00,0.0
electricity,NL12,2015-03-15 12:00:00,2.999999992425728e-06
electricity,NL12,2015-03-15 15:00:00,7.999999866115104e-06
electricity,NL12,2015-03-15 18:00:00,0.0
electricity,NL12,2015-03-15 21:00:00,0.0
electricity,NL12,2015-03-16 00:00:00,7.999999979801942e-06
electricity,NL12,2015-03-16 03:00:00,-1.9999999949504854e-06
electricity,NL12,2015-03-16 06:00:00,3.599999990910874e-05
electricity,NL12,2015-03-16 09:00:00,4.1000000237545464e-05
electricity,NL12,2015-03-16 12:00:00,3.600000013648241e-05
electricity,NL12,2015-03-16 15:00:00,2.999999992425728e-05
electricity,NL12,2015-03-16 18:00:00,1.9999999949504854e-05
electricity,NL12,2015-03-16 21:00:00,9.999999974752427e-06
electricity,NL12,2015-03-17 00:00:00,-1.0000000088439265e-05
electricity,NL12,2015-03-17 03:00:00,0.0
electricity,NL12,2015-03-17 06:00:00,-2.199999994445534e-05
electricity,NL12,2015-03-17 09:00:00,1.8000000181928044e-05
electricity,NL12,2015-03-17 12:00:00,4.500000000007276e-05
electricity,NL12,2015-03-17 15:00:00,2.2999999828243745e-05
electricity,NL12,2015-03-17 18:00:00,3.999999989900971e-05
electricity,NL12,2015-03-17 21:00:00,9.999999974752427e-06
electricity,NL12,2015-03-18 00:00:00,-1.3000000080864993e-06
electricity,NL12,2015-03-18 03:00:00,-9.999999974752427e-07
electricity,NL12,2015-03-18 06:00:00,1.99999976757681e-06
electricity,NL12,2015-03-18 09:00:00,4.799999987881165e-05
electricity,NL12,2015-03-18 12:00:00,9.999999974752427e-06
electricity,NL12,2015-03-18 15:00:00,-1.0999999858540832e-05
electricity,NL12,2015-03-18 18:00:00,-2.999999992425728e-05
electricity,NL12,2015-03-18 21:00:00,0.0
electricity,NL12,2015-03-19 00:00:00,0.0
electricity,NL12,2015-03-19 03:00:00,0.0
electricity,NL12,2015-03-19 06:00:00,5.199999986871262e-05
electricity,NL12,2015-03-19 09:00:00,-9.999999974752427e-06
electricity,NL12,2015-03-19 12:00:00,1.9999999949504854e-05
electricity,NL12,2015-03-19 15:00:00,-2.099999983329326e-05
electricity,NL12,2015-03-19 18:00:00,-2.999999992425728e-05
electricity,NL12,2015-03-19 21:00:00,0.0
electricity,NL12,2015-03-20 00:00:00,0.0
electricity,NL12,2015-03-20 03:00:00,0.0
electricity,NL12,2015-03-20 06:00:00,2.40000001667795e-05
electricity,NL12,2015-03-20 09:00:00,-3.65999994755839e-06
electricity,NL12,2015-03-20 12:00:00,-4.999999873689376e-06
electricity,NL12,2015-03-20 15:00:00,4.5999999883861165e-05
electricity,NL12,2015-03-20 18:00:00,-3.0000000151630957e-05
electricity,NL12,2015-03-20 21:00:00,1.0000000088439265e-05
electricity,NL12,2015-03-21 00:00:00,0.0
electricity,NL12,2015-03-21 03:00:00,-1.0000000088439265e-05
electricity,NL12,2015-03-21 06:00:00,-5.0999999530176865e-06
electricity,NL12,2015-03-21 09:00:00,3.999999989900971e-06
electricity,NL12,2015-03-21 12:00:00,8.00000009348878e-06
electricity,NL12,2015-03-21 15:00:00,5.060000123791042e-06
electricity,NL12,2015-03-21 18:00:00,-1.8100001204501837e-06
electricity,NL12,2015-03-21 21:00:00,-4.339999918556714e-06
electricity,NL12,2015-03-22 00:00:00,-2.000000108637323e-06
electricity,NL12,2015-03-22 03:00:00,2.4000000848900527e-06
electricity,NL12,2015-03-22 06:00:00,-3.999999989900971e-06
electricity,NL12,2015-03-22 09:00:00,0.0
electricity,NL12,2015-03-22 12:00:00,-1.0999999858540832e-05
electricity,NL12,2015-03-22 15:00:00,-1.3999999737279722e-06
electricity,NL12,2015-03-22 18:00:00,9.999999974752427e-07
electricity,NL12,2015-03-22 21:00:00,0.0
electricity,NL12,2015-03-23 00:00:00,0.0
electricity,NL12,2015-03-23 03:00:00,0.0
electricity,NL12,2015-03-23 06:00:00,3.90000000152213e-05
electricity,NL12,2015-03-23 09:00:00,1.5999999959603883e-05
electricity,NL12,2015-03-23 12:00:00,-3.999999989900971e-05
electricity,NL12,2015-03-23 15:00:00,3.199999991920777e-05
electricity,NL12,2015-03-23 18:00:00,3.999999989900971e-05
electricity,NL12,2015-03-23 21:00:00,0.0
electricity,NL12,2015-03-24 00:00:00,0.0
electricity,NL12,2015-03-24 03:00:00,0.0
electricity,NL12,2015-03-24 06:00:00,1.1000000085914508e-05
electricity,NL12,2015-03-24 09:00:00,-3.599999990910874e-05
electricity,NL12,2015-03-24 12:00:00,-8.500000012645614e-05
electricity,NL12,2015-03-24 15:00:00,-3.235999970918613e-05
electricity,NL12,2015-03-24 18:00:00,-1.2869999636677676e-05
electricity,NL12,2015-03-24 21:00:00,-3.6999999792897142e-06
electricity,NL12,2015-03-25 00:00:00,7.999999979801942e-06
